READ SERR 1
@norm_1ph_per_keVcm2s_wabs-0.pco
!
0.160070792 9.94777147E-5 5.69765829E-2
0.160269871 9.96014351E-5 5.7529591E-2
0.160469204 9.97253082E-5 5.8086127E-2
0.160668775 9.98493342E-5 5.86461648E-2
0.1608686 9.99735203E-5 5.92097379E-2
0.161068678 1.00097859E-4 5.97768314E-2
0.161268994 1.00222343E-4 6.03474937E-2
0.161469564 1.00346995E-4 6.09216914E-2
0.161670387 1.00471792E-4 6.14994131E-2
0.161871448 1.0059675E-4 6.20806962E-2
0.162072763 1.0072186E-4 6.26655445E-2
0.162274346 1.0084713E-4 6.32539541E-2
0.162476152 1.00972553E-4 6.38458952E-2
0.162678227 1.01098129E-4 6.44414276E-2
0.162880555 1.01223864E-4 6.50405288E-2
0.163083121 1.0134976E-4 6.56431913E-2
0.163285956 1.01475809E-4 6.62494302E-2
0.163489029 1.01602011E-4 6.68592155E-2
0.163692355 1.01728372E-4 6.7472592E-2
0.163895935 1.01854894E-4 6.80895746E-2
0.164099783 1.01981568E-4 6.87101483E-2
0.164303869 1.02108403E-4 6.93342537E-2
0.164508209 1.0223539E-4 6.99619353E-2
0.164712816 1.02362545E-4 7.05932826E-2
0.164917663 1.02489852E-4 7.12282062E-2
0.165122762 1.02617319E-4 7.1866706E-2
0.16532813 1.0274494E-4 7.2508797E-2
0.165533751 1.02872727E-4 7.31544942E-2
0.165739626 1.03000668E-4 7.38037899E-2
0.165945753 1.03128768E-4 7.44566619E-2
0.166152135 1.03257029E-4 7.51131624E-2
0.166358784 1.0338545E-4 7.57732615E-2
0.166565686 1.0351403E-4 7.64368922E-2
0.166772842 1.03642771E-4 7.71041662E-2
0.166980252 1.03771672E-4 7.77750909E-2
0.167187929 1.03900726E-4 7.84495994E-2
0.16739586 1.04029947E-4 7.91276842E-2
0.167604044 1.04159328E-4 7.98093677E-2
0.167812496 1.04288876E-4 8.04946423E-2
0.168021202 1.04418577E-4 8.11835378E-2
0.168230161 1.04548439E-4 8.18760544E-2
0.168439388 1.04678467E-4 8.25721771E-2
0.168648884 1.04808656E-4 8.32718685E-2
0.168858632 1.04939005E-4 8.3975181E-2
0.169068635 1.05069521E-4 8.46820921E-2
0.169278905 1.0520019E-4 8.5392572E-2
0.169489443 1.05331026E-4 8.61066505E-2
0.169700235 1.0546203E-4 8.68243352E-2
0.16991128 1.05593193E-4 8.75456333E-2
0.170122609 1.05724517E-4 8.8270545E-2
0.17033419 1.05856008E-4 8.89989808E-2
0.170546025 1.05987659E-4 8.97310227E-2
0.170758128 1.06119478E-4 9.04666781E-2
0.1709705 1.06251457E-4 9.12059024E-2
0.171183139 1.06383603E-4 9.1948688E-2
0.171396047 1.06515909E-4 9.26950723E-2
0.171609208 1.06648382E-4 9.34450403E-2
0.171822637 1.06781023E-4 9.41985399E-2
0.172036335 1.06913823E-4 9.49556231E-2
0.172250286 1.07046792E-4 9.57162902E-2
0.17246452 1.07179927E-4 9.64805037E-2
0.172679007 1.07313223E-4 9.72483009E-2
0.172893763 1.07446685E-4 9.80196744E-2
0.173108801 1.07580316E-4 9.87945721E-2
0.173324093 1.07714113E-4 9.95730162E-2
0.173539653 1.07848078E-4 0.100354977
0.173755482 1.0798221E-4 0.101140544
0.173971578 1.08116503E-4 0.101929665
0.174187943 1.0825097E-4 0.102722272
0.174404591 1.08385604E-4 0.103518389
0.174621493 1.08520398E-4 0.10431806
0.174838662 1.08655368E-4 0.105121255
0.175056115 1.08790497E-4 0.105927914
0.175273836 1.089258E-4 0.106738113
0.17549181 1.09061271E-4 0.107551828
0.175710082 1.0919691E-4 0.108369075
0.175928608 1.09332716E-4 0.109189823
0.176147401 1.09468696E-4 0.110014036
0.176366478 1.09604844E-4 0.110841684
0.176585823 1.09741159E-4 0.111672841
0.176805437 1.09877641E-4 0.112507455
0.177025333 1.10014298E-4 0.113345549
0.177245498 1.10151115E-4 0.114187136
0.177465945 1.10288114E-4 0.115032166
0.177686647 1.10425281E-4 0.115880623
0.177907646 1.10562614E-4 0.116732508
0.178128898 1.10700123E-4 0.117587857
0.178350449 1.10837798E-4 0.118446633
0.178572252 1.10975641E-4 0.119308829
0.178794339 1.11113666E-4 0.120174423
0.179016709 1.11251858E-4 0.121043414
0.179239348 1.11390218E-4 0.121915847
0.179462269 1.11528752E-4 0.122791663
0.179685473 1.11667461E-4 0.123670861
0.179908946 1.11806345E-4 0.12455342
